year,orig,dest,flow
1991,São Paulo,Espírito Santo,10825
1991,São Paulo,Rio de Janeiro,32659
1991,São Paulo,Paraná,97961
1991,São Paulo,Santa Catarina,19421
1991,São Paulo,Rio Grande do Sul,13395
1991,São Paulo,Mato Grosso do Sul,41888
1991,São Paulo,Mato Grosso,25005
1991,São Paulo,Goiás,20498
1991,São Paulo,Distrito Federal,7674
1991,Paraná,Rondônia,23475
1991,Paraná,Acre,564
1991,Paraná,Amazonas,1379
1991,Paraná,Roraima,254
1991,Paraná,Pará,4381
1991,Paraná,Amapá,266
1991,Paraná,Tocantins,1119
1991,Paraná,Maranhão,407
1991,Paraná,Piauí,112
1991,Paraná,Ceará,938
1991,Paraná,Rio Grande do Norte,287
1991,Paraná,Paraíba,331
1991,Paraná,Pernambuco,1071
1991,Paraná,Alagoas,731
1991,Paraná,Sergipe,391
1991,Paraná,Bahia,2898
1991,Paraná,Minas Gerais,15309
1991,Paraná,Espírito Santo,1589
1991,Paraná,Rio de Janeiro,4881
1991,Paraná,São Paulo,217405
1991,Paraná,Santa Catarina,81685
1991,Paraná,Rio Grande do Sul,26639
1991,Paraná,Mato Grosso do Sul,27412
1991,Paraná,Mato Grosso,55218
1991,Paraná,Goiás,4554
1991,Paraná,Distrito Federal,1894
1991,Santa Catarina,Rondônia,2257
1991,Santa Catarina,Acre,39
1991,Santa Catarina,Amazonas,239
1991,Santa Catarina,Roraima,20
1991,Santa Catarina,Pará,789
1991,Santa Catarina,Amapá,54
1991,Santa Catarina,Tocantins,391
1991,Santa Catarina,Maranhão,149
1991,Santa Catarina,Piauí,108
1991,Santa Catarina,Ceará,311
1991,Santa Catarina,Rio Grande do Norte,220
1991,Santa Catarina,Paraíba,65
1991,Santa Catarina,Pernambuco,133
1991,Santa Catarina,Alagoas,112
1991,Santa Catarina,Sergipe,84
1991,Santa Catarina,Bahia,762
1991,Santa Catarina,Minas Gerais,1439
1991,Santa Catarina,Espírito Santo,234
1991,Santa Catarina,Rio de Janeiro,2147
1991,Santa Catarina,São Paulo,11642
1991,Santa Catarina,Paraná,47328
1991,Santa Catarina,Rio Grande do Sul,40036
1991,Santa Catarina,Mato Grosso do Sul,2902
1991,Santa Catarina,Mato Grosso,11604
1991,Santa Catarina,Goiás,1357
1991,Santa Catarina,Distrito Federal,579
1991,Rio Grande do Sul,Rondônia,1652
1991,Rio Grande do Sul,Acre,290
1991,Rio Grande do Sul,Amazonas,1156
1991,Rio Grande do Sul,Roraima,254
1991,Rio Grande do Sul,Pará,1407
1991,Rio Grande do Sul,Amapá,127
1991,Rio Grande do Sul,Tocantins,1307
1991,Rio Grande do Sul,Maranhão,485
1991,Rio Grande do Sul,Piauí,69
1991,Rio Grande do Sul,Ceará,883
1991,Rio Grande do Sul,Rio Grande do Norte,507
1991,Rio Grande do Sul,Paraíba,426
1991,Rio Grande do Sul,Pernambuco,1230
1991,Rio Grande do Sul,Alagoas,831
1991,Rio Grande do Sul,Sergipe,276
1991,Rio Grande do Sul,Bahia,2813
1991,Rio Grande do Sul,Minas Gerais,3621
1991,Rio Grande do Sul,Espírito Santo,1036
1991,Rio Grande do Sul,Rio de Janeiro,6593
1991,Rio Grande do Sul,São Paulo,16223
1991,Rio Grande do Sul,Paraná,26377
1991,Rio Grande do Sul,Santa Catarina,46342
1991,Rio Grande do Sul,Mato Grosso do Sul,7158
1991,Rio Grande do Sul,Mato Grosso,11397
1991,Rio Grande do Sul,Goiás,3854
1991,Rio Grande do Sul,Distrito Federal,2543
1991,Mato Grosso do Sul,Rondônia,5539
1991,Mato Grosso do Sul,Acre,284
1991,Mato Grosso do Sul,Amazonas,289
1991,Mato Grosso do Sul,Roraima,159
1991,Mato Grosso do Sul,Pará,961
1991,Mato Grosso do Sul,Amapá,37
1991,Mato Grosso do Sul,Tocantins,545
1991,Mato Grosso do Sul,Maranhão,426
1991,Mato Grosso do Sul,Piauí,209
1991,Mato Grosso do Sul,Ceará,545
1991,Mato Grosso do Sul,Rio Grande do Norte,292
1991,Mato Grosso do Sul,Paraíba,224
1991,Mato Grosso do Sul,Pernambuco,645
1991,Mato Grosso do Sul,Alagoas,264
1991,Mato Grosso do Sul,Sergipe,299
1991,Mato Grosso do Sul,Bahia,499
1991,Mato Grosso do Sul,Minas Gerais,2995
1991,Mato Grosso do Sul,Espírito Santo,350
1991,Mato Grosso do Sul,Rio de Janeiro,1770
1991,Mato Grosso do Sul,São Paulo,35854
1991,Mato Grosso do Sul,Paraná,14806
1991,Mato Grosso do Sul,Santa Catarina,1815
1991,Mato Grosso do Sul,Rio Grande do Sul,2963
1991,Mato Grosso do Sul,Mato Grosso,29037
1991,Mato Grosso do Sul,Goiás,3325
1991,Mato Grosso do Sul,Distrito Federal,889
1991,Mato Grosso,Rondônia,11659
1991,Mato Grosso,Acre,652
1991,Mato Grosso,Amazonas,709
1991,Mato Grosso,Roraima,752
1991,Mato Grosso,Pará,3692
1991,Mato Grosso,Amapá,46
1991,Mato Grosso,Tocantins,1930
1991,Mato Grosso,Maranhão,1126
1991,Mato Grosso,Piauí,190
1991,Mato Grosso,Ceará,832
1991,Mato Grosso,Rio Grande do Norte,407
1991,Mato Grosso,Paraíba,249
1991,Mato Grosso,Pernambuco,440
1991,Mato Grosso,Alagoas,183
1991,Mato Grosso,Sergipe,118
1991,Mato Grosso,Bahia,960
1991,Mato Grosso,Minas Gerais,5935
1991,Mato Grosso,Espírito Santo,572
1991,Mato Grosso,Rio de Janeiro,1337
1991,Mato Grosso,São Paulo,21190
1991,Mato Grosso,Paraná,25513
1991,Mato Grosso,Santa Catarina,3717
1991,Mato Grosso,Rio Grande do Sul,4508
1991,Mato Grosso,Mato Grosso do Sul,13797
1991,Mato Grosso,Goiás,15809
1991,Mato Grosso,Distrito Federal,2009
1991,Goiás,Rondônia,4144
1991,Goiás,Acre,190
1991,Goiás,Amazonas,567
1991,Goiás,Roraima,609
1991,Goiás,Pará,11034
1991,Goiás,Amapá,80
1991,Goiás,Tocantins,20842
1991,Goiás,Maranhão,2793
1991,Goiás,Piauí,895
1991,Goiás,Ceará,1275
1991,Goiás,Rio Grande do Norte,1172
1991,Goiás,Paraíba,736
1991,Goiás,Pernambuco,1182
1991,Goiás,Alagoas,253
1991,Goiás,Sergipe,187
1991,Goiás,Bahia,4190
1991,Goiás,Minas Gerais,30346
1991,Goiás,Espírito Santo,411
1991,Goiás,Rio de Janeiro,1804
1991,Goiás,São Paulo,17331
1991,Goiás,Paraná,2029
1991,Goiás,Santa Catarina,665
1991,Goiás,Rio Grande do Sul,1825
1991,Goiás,Mato Grosso do Sul,3347
1991,Goiás,Mato Grosso,21901
1991,Goiás,Distrito Federal,26857
1991,Distrito Federal,Rondônia,843
1991,Distrito Federal,Acre,279
1991,Distrito Federal,Amazonas,534
1991,Distrito Federal,Roraima,184
1991,Distrito Federal,Pará,2212
1991,Distrito Federal,Amapá,69
1991,Distrito Federal,Tocantins,2334
1991,Distrito Federal,Maranhão,3596
1991,Distrito Federal,Piauí,4331
1991,Distrito Federal,Ceará,5365
1991,Distrito Federal,Rio Grande do Norte,2939
1991,Distrito Federal,Paraíba,2521
1991,Distrito Federal,Pernambuco,2640
1991,Distrito Federal,Alagoas,579
1991,Distrito Federal,Sergipe,1234
1991,Distrito Federal,Bahia,3582
1991,Distrito Federal,Minas Gerais,13150
1991,Distrito Federal,Espírito Santo,2651
1991,Distrito Federal,Rio de Janeiro,8825
1991,Distrito Federal,São Paulo,9547
1991,Distrito Federal,Paraná,2547
1991,Distrito Federal,Santa Catarina,1359
1991,Distrito Federal,Rio Grande do Sul,2361
1991,Distrito Federal,Mato Grosso do Sul,956
1991,Distrito Federal,Mato Grosso,2040
1991,Distrito Federal,Goiás,66992
2000,Rondônia,Acre,3530
2000,Rondônia,Amazonas,6307
2000,Rondônia,Roraima,1118
2000,Rondônia,Pará,1527
2000,Rondônia,Amapá,109
2000,Rondônia,Tocantins,598
2000,Rondônia,Maranhão,1192
2000,Rondônia,Piauí,313
2000,Rondônia,Ceará,2056
2000,Rondônia,Rio Grande do Norte,628
2000,Rondônia,Paraíba,838
2000,Rondônia,Pernambuco,586
2000,Rondônia,Alagoas,73
2000,Rondônia,Sergipe,118
2000,Rondônia,Bahia,1134
2000,Rondônia,Minas Gerais,4036
2000,Rondônia,Espírito Santo,2116
2000,Rondônia,Rio de Janeiro,1104
2000,Rondônia,São Paulo,7235
2000,Rondônia,Paraná,7970
2000,Rondônia,Santa Catarina,1512
2000,Rondônia,Rio Grande do Sul,1153
2000,Rondônia,Mato Grosso do Sul,2629
2000,Rondônia,Mato Grosso,20606
2000,Rondônia,Goiás,3077
2000,Rondônia,Distrito Federal,1169
2000,Acre,Rondônia,5070
2000,Acre,Amazonas,4293
2000,Acre,Roraima,331
2000,Acre,Pará,236
2000,Acre,Amapá,53
2000,Acre,Tocantins,80
2000,Acre,Maranhão,52
2000,Acre,Piauí,26
